Date,Open,High,Low,Close,Adj Close,Volume
2018-07-24,565.000000,568.400024,560.000000,562.500000,560.808533,153696
2018-07-25,565.299988,567.000000,555.549988,558.450012,556.770752,159830
2018-07-26,553.900024,562.750000,551.549988,555.500000,553.829590,176172
2018-07-27,555.400024,560.400024,553.299988,556.950012,555.275208,159573
2018-07-30,557.500000,566.549988,552.549988,563.200012,561.506409,203852
2018-07-31,563.200012,574.700012,560.799988,566.650024,564.946106,297926
2018-08-01,569.000000,576.750000,564.000000,575.799988,574.068542,586753
2018-08-02,576.000000,588.000000,575.799988,579.500000,577.757385,1155459
2018-08-03,581.900024,589.200012,581.900024,584.849976,583.091309,213552
2018-08-06,587.000000,593.000000,574.000000,575.599976,573.869141,289129
2018-08-07,581.000000,582.799988,568.349976,569.549988,567.837341,200797
2018-08-08,570.000000,578.000000,564.700012,572.549988,570.828308,218633
2018-08-09,574.950012,584.599976,563.849976,570.700012,568.983887,302316
2018-08-10,566.099976,569.450012,549.200012,553.599976,551.935242,906071
2018-08-13,558.000000,566.599976,553.750000,562.750000,561.057800,193076
2018-08-14,566.200012,608.099976,560.400024,601.650024,599.840820,1789637
2018-08-16,609.000000,621.950012,602.250000,619.599976,617.736816,1785380
2018-08-17,623.700012,633.250000,619.299988,623.299988,621.425720,938431
2018-08-20,627.000000,631.000000,620.000000,624.700012,622.821533,520609
2018-08-21,626.349976,638.849976,620.799988,635.250000,633.339783,497055
2018-08-23,638.849976,645.000000,634.750000,639.099976,637.178162,540011
2018-08-24,638.700012,639.900024,618.650024,629.650024,627.756653,484159
2018-08-27,633.000000,636.750000,620.650024,621.799988,619.930176,418504
2018-08-28,623.099976,633.250000,619.650024,621.200012,619.332031,269447
2018-08-29,623.000000,630.500000,616.400024,620.700012,618.833557,323348
2018-08-30,627.000000,642.000000,622.549988,639.500000,637.576965,438532
2018-08-31,643.000000,658.900024,643.000000,652.200012,650.238831,775937
2018-09-03,659.650024,673.599976,651.500000,655.950012,653.977539,598840
2018-09-04,657.099976,663.150024,645.450012,654.150024,652.182983,539653
2018-09-05,657.000000,671.799988,654.250000,663.400024,661.405151,541595
2018-09-06,665.500000,678.799988,663.650024,676.650024,674.615295,492047
2018-09-07,645.000000,669.799988,640.950012,664.200012,662.202698,1261362
2018-09-10,658.799988,666.500000,636.000000,639.500000,637.576965,698774
2018-09-11,644.799988,649.400024,628.299988,631.049988,629.152405,533183
2018-09-12,625.000000,654.599976,620.000000,649.849976,647.895813,796849
2018-09-14,664.099976,670.950012,658.250000,665.099976,663.099976,458955
2018-09-17,663.500000,668.650024,643.150024,646.150024,646.150024,650944
2018-09-18,649.500000,655.750000,640.000000,642.299988,642.299988,321970
2018-09-19,652.000000,657.000000,640.200012,647.299988,647.299988,596394
2018-09-21,651.000000,655.000000,607.650024,635.500000,635.500000,490450
2018-09-24,636.000000,642.900024,616.500000,623.700012,623.700012,1696960
2018-09-25,624.000000,644.950012,623.900024,639.799988,639.799988,432345
2018-09-26,645.000000,650.000000,633.000000,639.849976,639.849976,537974
2018-09-27,640.000000,644.000000,625.200012,629.700012,629.700012,178681
2018-09-28,632.000000,636.200012,616.299988,623.349976,623.349976,287377
2018-10-01,624.000000,637.049988,609.650024,630.700012,630.700012,989883
2018-10-03,637.000000,640.450012,619.650024,621.849976,621.849976,245335
2018-10-04,618.000000,620.500000,591.000000,598.849976,598.849976,342005
2018-10-05,598.000000,616.650024,591.049988,598.250000,598.250000,459653
2018-10-08,591.000000,608.750000,589.849976,603.700012,603.700012,327142
2018-10-09,607.099976,616.700012,598.299988,609.849976,609.849976,323705
2018-10-10,611.950012,619.250000,593.500000,603.000000,603.000000,319750
2018-10-11,592.000000,602.900024,582.650024,587.299988,587.299988,328941
2018-10-12,590.000000,597.650024,582.750000,590.650024,590.650024,287742
2018-10-15,590.599976,603.500000,588.799988,599.500000,599.500000,247462
2018-10-16,601.000000,605.900024,593.349976,602.849976,602.849976,224188
2018-10-17,606.700012,610.000000,591.000000,593.450012,593.450012,182733
2018-10-19,593.450012,610.000000,590.049988,608.400024,608.400024,240956
2018-10-22,610.000000,616.500000,603.799988,607.049988,607.049988,255878
2018-10-23,606.900024,609.900024,572.000000,576.299988,576.299988,349893
2018-10-24,585.000000,586.400024,561.400024,570.349976,570.349976,342911
2018-10-25,563.500000,572.000000,552.000000,557.650024,557.650024,305757
2018-10-26,563.950012,564.000000,550.299988,553.650024,553.650024,363307
2018-10-29,555.000000,577.000000,554.900024,572.650024,572.650024,269462
2018-10-30,576.500000,576.799988,559.900024,561.650024,561.650024,155551
2018-10-31,562.000000,580.900024,560.799988,579.150024,579.150024,280206
2018-11-01,580.000000,584.500000,568.400024,571.549988,571.549988,195021
2018-11-02,576.000000,585.000000,568.450012,571.400024,571.400024,161564
2018-11-05,574.000000,583.599976,565.000000,572.599976,572.599976,150023
2018-11-06,577.900024,586.000000,575.200012,579.150024,579.150024,161506
2018-11-07,585.000000,585.000000,580.549988,582.400024,582.400024,29919
2018-11-09,585.400024,603.750000,582.000000,595.900024,595.900024,312399
2018-11-12,598.650024,600.700012,586.250000,589.549988,589.549988,181964
2018-11-13,594.900024,594.900024,556.049988,561.700012,561.700012,793515
2018-11-14,558.500000,558.549988,517.599976,520.349976,520.349976,1920807
2018-11-15,522.000000,528.450012,509.000000,514.950012,514.950012,826852
2018-11-16,522.000000,525.599976,514.150024,519.599976,519.599976,458058
2018-11-19,528.000000,532.500000,520.250000,530.549988,530.549988,312235
2018-11-20,531.000000,532.250000,522.099976,525.500000,525.500000,182873
2018-11-21,526.299988,535.000000,526.299988,531.150024,531.150024,226142
2018-11-22,533.000000,533.000000,524.150024,525.799988,525.799988,124019
2018-11-26,526.299988,528.000000,507.200012,510.649994,510.649994,295946
2018-11-27,516.650024,521.200012,474.649994,493.600006,493.600006,2605762
2018-11-28,491.000000,502.250000,482.000000,486.350006,486.350006,720981
2018-11-29,490.000000,491.500000,479.049988,483.399994,483.399994,2187092
2018-11-30,487.000000,493.899994,481.200012,492.299988,492.299988,2889973
2018-12-03,467.000000,467.000000,441.950012,455.299988,455.299988,4809013
2018-12-04,459.500000,464.700012,441.700012,442.799988,442.799988,3168017
2018-12-05,443.000000,445.450012,402.100006,413.600006,413.600006,3297733
2018-12-06,416.000000,431.000000,413.049988,420.100006,420.100006,4293089
2018-12-07,424.000000,426.350006,408.500000,411.299988,411.299988,2674938
2018-12-10,405.799988,409.000000,396.700012,398.850006,398.850006,1641821
2018-12-11,392.000000,424.750000,391.100006,421.799988,421.799988,2609925
2018-12-12,427.799988,433.350006,423.200012,431.299988,431.299988,1414538
2018-12-13,422.899994,429.549988,418.000000,422.149994,422.149994,1346229
2018-12-14,422.149994,426.200012,416.899994,419.750000,419.750000,885217
2018-12-17,422.700012,425.500000,419.500000,420.549988,420.549988,678859
2018-12-18,421.000000,434.899994,419.250000,433.100006,433.100006,1146664
2018-12-19,434.350006,434.799988,422.750000,424.000000,424.000000,658389
2018-12-20,423.000000,431.149994,422.000000,429.250000,429.250000,902587
2018-12-21,430.299988,433.000000,423.250000,424.750000,424.750000,503694
2018-12-24,428.950012,434.399994,422.100006,423.450012,423.450012,646107
2018-12-26,425.000000,425.000000,410.299988,414.000000,414.000000,708606
2018-12-27,423.250000,424.000000,410.600006,412.299988,412.299988,770223
2018-12-28,415.100006,428.049988,413.950012,424.600006,424.600006,889429
2018-12-31,429.799988,432.299988,425.649994,430.649994,430.649994,464991
2019-01-01,432.000000,438.149994,429.750000,433.100006,433.100006,566783
2019-01-02,430.899994,441.149994,429.250000,440.299988,440.299988,747017
2019-01-03,442.700012,443.549988,433.100006,435.350006,435.350006,975368
2019-01-04,437.850006,439.899994,431.700012,432.799988,432.799988,439219
2019-01-07,436.000000,438.000000,428.500000,430.049988,430.049988,290349
